start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined
00:00:00:16|00:00:01:05|Agyat Ladki|ओए!|[अज्ञात लड़की] Oye!
00:00:02:12|00:00:03:00|Anita|योर हाइनेस।|[अनीता] Your Highness.
00:00:03:22|00:00:04:12|Anita|पालकी मंगवाऊं?|[अनीता] Palki mangwaun?
00:00:05:15|00:00:05:22|Anita|मूव।|[अनीता] Move.
00:00:25:12|00:00:26:14|Anita|लेट अस बी ग्रेटफुल।|[अनीता] Let us be grateful.
00:00:27:07|00:00:29:12|Chhatrayein|फॉर वॉट वी आर अबाउट टू रिसीव।|[छात्राएं] For what we are about to receive.
00:00:36:20|00:00:37:16|Bheraji|वेज? नॉन-वेज?|[भेराजी] Veg? Non-veg?
00:00:38:08|00:00:40:02|Kavya|वेजीटेरियन. एग ओनली डेसर्ट्स में।|[काव्या] Vegetarian. Egg only desserts mein.
00:00:40:14|00:00:41:22|Bheraji|तीसरी बेल पे खाना हट जाएगा|[भेराजी] Teesari bell pe khana hat jayega
00:00:42:24|00:00:43:24|Bheraji|और चौथी पे डेसर्ट है।|[भेराजी] aur chauthi pe dessert hai.
00:00:44:11|00:00:46:11|Mandy|डेसर्ट में क्या है, भेराजी?|[मैंडी] Dessert mein kya hai, Bheraji?
00:00:48:02|00:00:50:20|Noor|डिपेंडेज़िया की खबर सुनी? पहली रात पे ही वॉल जंप्ड।|[नूर] Dependezia ki khabar suni? Pehli raat pe hi wall jumped.
00:00:51:04|00:00:52:13|Mandy|सस्पेंशन गारन्टीड।|[मैंडी] Suspension guaranteed.
00:00:55:04|00:00:55:18|Noor|हू आर यू?|[नूर] Who are you?
00:00:56:21|00:00:58:11|Kavya|काव्या। काव्या यादव।|[काव्या] Kavya. Kavya Yadav.
00:00:58:15|00:01:02:22|Kavya|524, अमलतास हाउस, साइंस स्ट्रीम, क्लास 11।|[काव्या] 524, Amaltas House, Science stream, Class 11.
00:01:03:07|00:01:04:12|Mandy|यू मीन प्री-एससी?|[मैंडी] You mean Pre-SC?
00:01:04:20|00:01:06:08|Mandy|गेट विथ द लिंगो, बिम्बो।|[मैंडी] Get with the lingo, bimbo.
00:01:07:11|00:01:08:00|Mandy|लिसन।|[मैंडी] Listen.
00:01:08:00|00:01:10:21|Mandy|आई कैन हेल्प यू विथ चार्जेज़ अप्लाइड।|[मैंडी] I can help you with charges applied.
00:01:12:22|00:01:13:17|Roohi|लीव हर अलोन, मैंडी।|[रूही] Leave her alone, Mandy.
00:01:14:09|00:01:15:20|Pits|इट्स योर ओन... पिट्स।|[पिट्स] It's your own... pits.
00:01:16:11|00:01:17:15|Mandy|शी इज़ ए स्कॉली।|[मैंडी] She's a scolly.
00:01:18:08|00:01:18:24|Mandy|कीप डिस्टेंस।|[मैंडी] Keep distance.
00:01:19:19|00:01:23:02|Pits|ऑफ कोर्स. व्हाट कुड बी वर्स दैन ब्रेन्स एंड अ स्कॉलरशिप?|[पिट्स] Of course. What could be worse than brains and a scholarship?
00:01:23:02|00:01:23:11|Pits|है ना?|[पिट्स] Haina?
00:01:26:17|00:01:28:22|Mandy|जेलस ऑफ यू, पिट्स? प्लीज।|[मैंडी] Jealous of you, Pits? Please.
00:01:29:16|00:01:31:18|Mandy|अपनी बदबू कहीं और जाके फैला।|[मैंडी] Apni badbu kahin aur jaake faila.
00:01:33:04|00:01:33:17|Mandy|डिस्गस्टिंग।|[मैंडी] Disgusting.
00:01:34:07|00:01:35:05|Roohi|स्टे अवे फ्रॉम हर।|[रूही] Stay away from her.
00:01:38:13|00:01:40:09|Kavya|इज़ दैट हर रियल नेम? पिट्स?|[काव्या] Is that her real name? Pits?
00:01:40:15|00:01:42:01|Noor|नो, नो. इट्स मिथ्या।|[नूर] No, no. It's Mithya.
00:01:42:01|00:01:45:07|Noor|पर ये स्कूल डीओ की डिस्कवरी के बिना ही आ गई थी।|[नूर] Par yeh school deo ki discovery ke bina hi aa gayi thi.
00:01:45:10|00:01:45:16|Noor|सो...|[नूर] So...
00:01:46:13|00:01:48:21|Mandy|जस्ट वेट. तेरा भी टाइम आएगा।|[मैंडी] Just wait. Tera bhi time aayega.
00:01:50:07|00:01:51:11|Kavya|सो, मैं काव्या ही ठीक हूँ।|[काव्या] So, main Kavya hi theek hoon.
