start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined|translated_text
10:00:00:13|10:00:02:18|Palkova|తేజస్ బయట కర్ణ ఉన్నాడు, పిలు బాబు.|[పాలకొవ] Tejas, baita Karna unnadu, pilu babu.|Tejas, Karna is outside, call him, boy.
10:00:06:17|10:00:07:02|Karna|బంగారం!|[కర్ణ] Bangaram!|My dear!
10:00:07:17|10:00:14:15|Nidhi|బంగారం కావాలా నీకు బంగారం? ఇన్ని దెబ్బలు తిన్నా నీకు సరిపోలేదా? ఉండు... చీఫ్ డాక్టర్ గారు వస్తారు, మంచి ఆపరేషన్ చేస్తారు నీకు.|[నిధి] Bangaram kavala neeku bangaram? Inni debbalu thinna neeku saripoleda? Undu... chief doctor garu vastharu, manchi operation chestharu neeku.|You want gold, do you? You want gold? Aren't these many beatings enough for you? Wait... the chief doctor will come and perform a good operation on you.
10:00:15:22|10:00:16:11|Nidhi|ఏరీ?|[నిధి] Eedi?|Where is he?
10:00:18:05|10:00:19:04|Tejas|కర్ణ అక్కడ లేరు కదా!|[తేజస్] Karna akkada leru kada!|Karna isn't there, right!
10:00:19:22|10:00:20:01|Nidhi|ఆ!|[నిధి] Ah!|Ah!
10:00:20:01|10:00:20:17|Palkova|ఆ!|[పాలకొవ] Ah!|Ah!
10:00:22:04|10:00:23:01|Palkova|కర్ణ అక్కడ లేడా?|[పాలకొవ] Karna akkada leda?|Karna isn't there?
10:00:24:14|10:00:26:23|Palkova|ఏయ్... ఏయ్ దొంగ! మా కర్ణని ఏం చేశావు నువ్వు?|[పాలకొవ] Ey... ey donga! Ma Karnani em chesavu nuvvu?|Hey... hey thief! What did you do to our Karna?
10:00:27:14|10:00:28:18|Nidhi|ఆ!|[నిధి] Ah!|Ah!
10:00:31:11|10:00:33:19|Nidhi|చెప్పు! మా కర్ణ సర్ని ఏం చేశావ్? చెప్పు!|[నిధి] Cheppu! Ma Karna sarni em chesav? Cheppu!|Tell me! What did you do to my Karna sir? Tell me!
10:00:34:23|10:00:35:16|Nidhi|నోరు తెరు!|[నిధి] Noru theru!|Open your mouth!
10:00:38:09|10:00:39:13|Nidhi|చెప్తావా లేదా?|[నిధి] Chepthava leda?|Will you tell me or not?
10:00:40:09|10:00:41:14|Nitya|నిధి, ఒక్క నిమిషం వదులు.|[నిత్య] Nidhi, okka nimisham vadulu.|Nidhi, leave him for a minute.
10:00:42:12|10:00:42:22|Nidhi|ఊరుకోకు నువ్వు.|[నిధి] Oorukoku nuvvu.|You keep quiet.
10:00:44:09|10:00:45:19|Nidhi|దొంగని వదిలిపెట్టమంటావా?|[నిధి] Donga ni vadilipettamantava?|Are you asking me to let go of the thief?
10:00:46:21|10:00:47:04|Nitya|ఊరుకోక నువ్వు!|[నిత్య] Oorukoka nuvvu!|You, be quiet!
10:00:47:11|10:00:48:02|Nitya|నిధి! రైట్ రా!|[నిత్య] Nidhi! Right ra!|Nidhi! Come on!
10:00:48:06|10:00:50:06|Nitya|అది కాదు ఇంకా దొంగ వీడు.|[నిత్య] Adi kaadu inka donga veedu.|No, he is the thief.
10:01:06:12|10:01:07:05|Palkova|డార్లింగ్!|[పాలకొవ] Darling!|Darling!
10:01:07:12|10:01:09:12|Shanti|కర్ణ నువ్వా?|[శాంతి] Karna nuvva?|Karna, is that you?
10:01:11:03|10:01:12:19|Nidhi|ఆ సర్, మీరా?|[నిధి] Ah sir, meera?|Ah sir, is it you?
10:01:14:24|10:01:18:16|Karna|ఏం కాదు, అయ్యో! ఇప్పటికైనా అర్థమైంది. మాట్లాడనివ్వలేదు ఎవరూ.|[కర్ణ] Em kadu, ayyo! Ippatikaina ardhamaindi. Matladanivvaledu evaru.|It's nothing, oh my! At least now you understand. No one let me speak.
10:01:20:14|10:01:29:13|Nidhi|ఆ... సర్ సర్ సారీ సర్, దొంగ అనుకుని ఇలా చేశాను సర్. న్యూస్ లో దొంగలు వస్తున్నారని చూశాను. వాళ్ళే వచ్చారనుకుని ఇలా చేశాను సర్. సారీ సర్, దయచేసి క్షమించండి సర్.|[నిధి] Ah... sir sir sorry sir, donga anukuni ila chesanu sir. News lo dongalu vasthunnarani chusanu. Valle vacharuanukuni ila chesanu sir. Sorry sir, dayachesi kshaminchandi sir.|Ah... sir, sir, sorry sir, I did this thinking you were a thief, sir. I saw on the news that thieves are on the loose. I thought it was them and did this, sir. Sorry sir, please forgive me, sir.
