start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined
00:00:00:13|00:00:02:18|Palakova|తేజస్ బయట కర్ణ ఉన్నాడు, పిలు బాబు.|[పాలకోవా] Palakova: Tejas, bayata Karna unnadu, pilu babu.
00:00:06:18|00:00:06:21|Unknown|బంగారం!|[Unknown] Unknown: Bangaram!
00:00:07:07|00:00:10:24|Nidhi|బంగారం కావాలా నీకు బంగారం? ఇన్ని దెబ్బలు తిన్నా నీకు సరిపోలేదా?|[నిధి] Nidhi: Bangaram kaavaala neeku bangaram? Inni debbalu thinna neeku saripoleda?
00:00:11:13|00:00:14:14|Nidhi|ఉండు చీఫ్ డాక్టర్ గారు వస్తారు మంచి ఆపరేషన్ చేస్తారు నీకు.|[నిధి] Nidhi: Undu, chief doctor gaaru vastharu, manchi operation chestharu neeku.
00:00:15:23|00:00:16:13|Nidhi|ఏది?|[నిధి] Nidhi: Edi?
00:00:18:13|00:00:19:07|Tejas|కర్ణ అక్కడ లేరు కదా?|[తేజస్] Tejas: Karna akkada leru kada?
00:00:19:15|00:00:20:00|Palakova|ఆహ్?|[పాలకోవా] Palakova: Ah?
00:00:22:11|00:00:23:08|Palakova|కర్ణ అక్కడ లేడా?|[పాలకోవా] Palakova: Karna akkada leda?
00:00:24:19|00:00:26:24|Palakova|ఏయ్ ఏయ్ దొంగ మా కర్ణని ఏం చేసావు నువ్వు?|[పాలకోవా] Palakova: Ey ey donga, ma Karnan em chesavu nuvvu?
00:00:27:23|00:00:28:10|Nidhi|ఆహ్!|[నిధి] Nidhi: Ah!
00:00:31:17|00:00:32:04|Nidhi|చెప్పు!|[నిధి] Nidhi: Cheppu!
00:00:32:15|00:00:34:00|Nidhi|చెప్పు మా కర్ణ సార్ ని ఏం చేసావ్?|[నిధి] Nidhi: Cheppu, ma Karna sir ni em chesav?
00:00:34:09|00:00:35:17|Palakova|చెప్పు! నోరు తెరు!|[పాలకోవా] Palakova: Cheppu! Noru theru!
00:00:38:15|00:00:39:07|Nidhi|చెప్తావా లేదా?|[నిధి] Nidhi: Chepthava leda?
00:00:40:08|00:00:41:19|Nitya|నిధి ఒక్క నిమిషం వదులు.|[నిత్య] Nitya: Nidhi, okka nimisham vadulu.
00:00:42:15|00:00:43:04|Nidhi|ఊరుకోకు నువ్వు.|[నిధి] Nidhi: Oorukoka nuvvu.
00:00:44:19|00:00:45:21|Nidhi|దొంగని వదిలి పెట్టమంటావా?|[నిధి] Nidhi: Dongani vadili pettamantaava?
00:00:46:04|00:00:46:18|Nitya|ఊరుకోక నువ్వు.|[నిత్య] Nitya: Oorukoka nuvvu.
00:00:47:11|00:00:48:10|Nitya|నిధి చెప్పురా.|[నిత్య] Nitya: Nidhi, cheppura.
00:00:48:15|00:00:50:07|Nidhi|అది కాదు అక్క దొంగ వీడు.|[నిధి] Nidhi: Adi kaadu akka, donga veedu.
01:00:06:17|01:00:07:07|Palakova|డార్లింగ్.|[పాలకోవా] Palakova: Darling.
01:00:07:18|01:00:09:07|Shanthi Baby|కర్ణా నువ్వా?|[శాంతి బేబీ] Shanthi Baby: Karna, nuvva?
01:00:11:03|01:00:12:18|Nidhi|ఆ సర్... మీరా?|[నిధి] Nidhi: Ah.. Sir... Meera?
01:00:15:02|01:00:16:10|Karna|ఈ గనాయువు ഇപ്പോഴെങ്കിലും അർത്ഥമായി.|[కర్ణ] Karna: Ee ganayuvu ippatikaina arthamaindi.
01:00:17:21|01:00:18:16|Karna|మాట్లాడనివ్వలేదు ఎవరు.|[కర్ణ] Karna: Matladanivvaledu evaru.
01:00:20:21|01:00:23:17|Nidhi|స.. స... స.. సారీ సర్, దొంగ అనుకుని ఇలా చేసాను సర్.|[నిధి] Nidhi: Sa.. sa.. sa.. sorry sir, donga anukuni ila chesanu sir.
