start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined
00:00:00:32|00:00:02:64|పెంకి పెళ్ళాం|తేజస్ బయట కర్ణ ఉన్నాడు పిలు బాబు.|[పెంకి పెళ్ళాం] Tejas bayata karna unnadu pilu babu.
00:00:06:40|00:00:06:96|తేజస్|బంగారు.|[తేజస్] Bangaru.
00:00:07:04|00:00:07:36|Unknown|ఆ.|Aa.
00:00:07:76|00:00:14:84|నిధి|బంగారు, బంగారం కావాలా నీకు బంగారం? ఇన్ని దెబ్బలు తిన్నా నీకు సరిపోలేదా? ఉండు, చీఫ్ డాక్టర్ గారు వస్తారు మంచి ఆపరేషన్ చేస్తారు నీకు.|[నిధి] Bangaru, bangaram kavala neeku bangaram? Inni debbalu thinna neeku saripoleda? Undu, chief doctor garu vastharu manchi operation chestharu neeku.
00:00:15:72|00:00:16:48|నిధి|ఏది?|[నిధి] Edi?
00:00:18:52|00:00:19:44|తేజస్|కర్ణ అక్కడ లేరు కదా?|[తేజస్] Karna akkada leru kada?
00:00:19:72|00:00:20:04|నిధి|హా?|[నిధి] Haa?
00:00:20:16|00:00:21:04|పెంకి పెళ్ళాం|ఆ ఆహ్?|[పెంకి పెళ్ళాం] Aa ah?
00:00:22:20|00:00:23:40|పెంకి పెళ్ళాం|కర్ణ అక్కడ లేడా?|[పెంకి పెళ్ళాం] Karna akkada leda?
00:00:24:64|00:00:27:12|పెంకి పెళ్ళాం|ఏయ్, ఏయ్ దొంగ, మా కర్ణని ఏం చేసావు నువ్వు?|[పెంకి పెళ్ళాం] Ey, ey donga, maa Karnani em chesavu nuvvu?
00:00:28:36|00:00:28:68|నిధి|హా.|[నిధి] Haa.
00:00:31:52|00:00:33:96|నిధి|చెప్పు, మా కర్ణ సర్ ని ఏం చేసావ్? చెప్పు!|[నిధి] Cheppu, maa Karna sir ni em chesav? Cheppu!
00:00:34:64|00:00:35:48|నిధి|నూర్ తెరు!|[నిధి] Noor theru!
