start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined
00:00:05:07|00:00:07:22|Avani|ಅವತ್ತಿನ್ ದಿನ ಪೂರ್ತಿ ನಾನು ಗೊಂದಲವಾಗಿದ್ದೆ.|[Avani] Avattin dina poorthi naanu gondhalavagidde.
00:00:08:08|00:00:11:22|Avani|ನಿಜ ಹೇಳ್ಬೇಕು ಅಂದ್ರೆ ಇವಾಗ್ ಕೂಡ ನನಿಗೆ ಏನು ನೆನಪಿಲ್ಲ.|[Avani] Nija helbeku andre ivag kooda nanige enu nenapilla.
00:00:13:08|00:00:17:15|Nirupama|ಅಬ್ಬಬ್ಬಬ್ಬಬ್ಬಬ್ಬಬ್ಬಾ. ಏನ್ ನಾಟ್ಕ ಮಾಡ್ತಿದಿಯಮ್ಮ.|[Nirupama] Abbabababababbaa. En natka maadtidiyamma.
00:00:20:13|00:00:26:22|Niharika|ಅವತ್ತು ಅಷ್ಟೆಲ್ಲಾ ಘಟನೆಗಳು ನಡೆದ್ರು, ಏನು ನೆನಪಿಲ್ಲ ಅಂತ ಸಿಂಪಲ್ ಆಗಿ ಹೇಳಿ ಅದು ಹೇಗ್ ತಪ್ಪಿಸ್ಕೊತಾ ಇದ್ದಾಳೆ ನೋಡಿ.|[Niharika] Avatthu ashtella ghatanegalu nadedru, enu nenapilla antha simple aagi heli adu heg thappiskotha iddaale nodi.
00:00:28:13|00:00:32:00|Vikram|ಇಲ್ನೋಡಿ, ನೀವ್ ಎಷ್ಟೇ ನಾಟ್ಕ ಆಡುದ್ರು, ನಾವ್ ಗುರುತ್ ಹಿಡಿತೀವಿ.|[Vikram] Ilnodi, neev eshte natka aadudru, naav gurut hidithivi.
00:00:33:04|00:00:35:09|Vikram|ಇವಳು, ಅವತ್ ಬಂದಿದ್ಲಲ್ಲ ಅವ್ಳೇ.|[Vikram] Ivlu, avath bandidlalla avle.
00:00:36:08|00:00:39:23|Avani|ಏನ್ ಗೌರಿ, ಇವ್ರು ಹೀಗ್ ಹೇಳ್ತಾ ಇದ್ದಾರೆ. ನೀನೇನು ಮಾತಾಡ್ತಾನೇ ಇಲ್ಲ.|[Avani] En gowri, ivru heeg heltha iddaare. Neenenu maathadthaane illa.
00:00:42:12|00:00:45:24|Gauramma|ಇವರೆಲ್ಲ ಮೂರ್ಖರ ಹಾಗ್ ಮಾತಾಡ್ತಿದ್ರೆ, ನಾನೇನ್ ಮಾತಾಡ್ಲಿ ಅವ್ನಿ.|[Gauramma] Ivarella moorkhara haag maathadtidre, naanen maathadli avni.
00:00:48:10|00:00:50:20|Avani|ನನ್ ಮನೇಲಿ ನನಗ್ ಒಳ್ಳೇದ್ ಬಯಸೋರ್ ಮಾತ್ರ ಇರ್ತಾರೆ.|[Avani] Nan maneli nanag olledh bayasor maathra irthaare.
00:00:51:10|00:00:54:02|Avani|ಇವ್ರ್ ಬಗ್ಗೆ ಏನಾದ್ರು ಮಾತಾಡುದ್ರೆ ನಾನು ಸುಮ್ನೆ ಇರಲ್ಲ.|[Avani] Ivr bagge enaadhru maathadudre naanu sumne iralla.
