start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined
00:00:00:11|00:00:04:09|Arjun|ఓ.. మీ ఫ్రెండ్షిప్ చూస్తుంటే మీకు నా దిష్టే తగిలేలా ఉంది.|[అర్జున్] Oh.. me friendship chustunte meeku na dishte thagilela undi.
00:00:04:18|00:00:06:21|Anandi|ఆహా నో నో నో నో నో అలా అంటే ఊరుకోను.|[ఆనంది] Aaha no no no no no ala ante urukonu.
00:00:07:07|00:00:08:08|Anandi|నాకు దిష్టి తీ.|[ఆనంది] Naku dishti thee.
00:16:05:14|00:16:06:06|Shanthi|శాంతి|[శాంతి] Shanthi
00:16:06:06|00:16:07:11|Anandi|శాంతి|[ఆనంది] Shanthi
00:16:47:04|00:16:47:11|Nidhi|ఉమ్మ్.|[నిధి] Umm.
00:17:26:24|00:17:27:14|Karna|థాంక్యూ.|[కర్ణ] Thank you.
00:17:28:02|00:17:29:08|Nidhi|అంతేనా?|[నిధి] Anthena?
00:18:02:16|00:18:03:13|Karna|థాంక్యూ సో మచ్.|[కర్ణ] Thank you so much.
00:18:04:08|00:18:06:14|Nidhi|ఆ పైన?|[నిధి] Aa paina?
00:19:11:15|00:19:11:21|Kavya|హే నిధి.|[కావ్య] Hey Nidhi.
00:19:12:04|00:19:13:21|Kavya|ఉమ్మ్.|[కావ్య] Umm.
00:20:01:21|00:20:02:08|Shanthi|ఏంటర్రా ఇది?|[శాంతి] Entarra idi?
00:20:02:11|00:20:11:05|Nidhi and Kavya|మా ముద్దు ముద్దు శాంతికి మీ ఇద్దరు మనవరాలల నుంచి రెండు చెంపల మీద తియ్యని ముద్దులు ఆ పైన మిగతా మాటలు.|[నిధి మరియు కావ్య] Ma muddu muddu Shanthiki me iddaru manavaraalala nunchi rendu chempala meeda thiyyani muddulu aa paina migatha matalu.
00:20:25:00|00:20:27:00|Nidhi and Kavya|శాంతి, వి లవ్ యు.|[నిధి మరియు కావ్య] Shanthi, we love you.
00:20:38:00|00:20:41:15|Kavya|అమ్మ ప్రేమ తెలియని మాకు తల్లి పాలివ్వని అమ్మ.|[కావ్య] Amma prema teliyani maaku talli paalivvani amma.
00:20:42:04|00:20:46:21|Nidhi|నాన్నతో ఆడని మా ఇద్దరికీ అండగా నిలిచిన నాన్న.|[నిధి] Naannatho aadani maa iddariki andaga nilichina naanna.
00:20:47:04|00:20:52:11|Kavya|నీ చేతి ముద్దులతో మా ఆకలి తీర్చి అనాథలమనే భావాన్ని తుడిచేశావు.|[కావ్య] Nee chethi muddulatho maa aakali teerchi anaathalamane bhaavanni thudichesavu.
00:20:53:11|00:20:58:02|Nidhi|నీ కష్టాలన్నీ కడుపులోనే దాచుకుని మా సంతోషాల్ని కోరుకుంది నువ్వే.|[నిధి] Nee kashtaalanni kadupulone daachukuni maa santoshalni korukundi nuvve.
01:00:11|01:05:07|Kavya|నీ ఇష్టాఇష్టాలు మర్చిపోయి మా ఇద్దరి ఆశలకు నువ్వే నక్షత్రమయ్యావు.|[కావ్య] Nee ishta ishtaalu marchipoyi maa iddari aashalaku nuvve nakshatramayyavu.
01:05:14|01:07:22|Nidhi|నువ్వే లేకపోతే మా ఉనికే లేదు.|[నిధి] Nuvve lekapothe maa unike ledhu.
01:08:08|01:11:09|Nidhi|నువ్వు ఇలా నవ్వుతూ ఉంటే మాకు వేరే ఏం అక్కర్లేదు.|[నిధి] Nuvvu ila navvuthu unte maaku vere em akkarledhu.
01:12:05|01:15:08|Kavya|మేము పెళ్లి అయ్యి వెళ్ళిపోయినా మేము ఎక్కడ ఉన్నా|[కావ్య] Memu pelli ayyi vellipoyina memu ekkada unna
01:15:15|01:21:09|Nidhi and Kavya|మేము ఎక్కడ ఉన్నా ఎలా ఉన్నా మా ఇద్దరితోనే నువ్వు కలిసి ఉండాలి శాంతి.|[నిధి మరియు కావ్య] Memu ekkada unna ela unna maa iddarithone nuvvu kalisi undaali Shanthi.
01:25:00|01:27:07|Nidhi and Kavya|శాంతి, వి లవ్ యు.|[నిధి మరియు కావ్య] Shanthi, we love you.
01:30:08|01:31:11|Shanthi|మీరు లేకపోతే|[శాంతి] Meeru lekapothe
01:31:11|01:35:10|Shanthi|నేనెలా ఉండేదాన్ని? పిచ్చి పిల్లలు.|[శాంతి] Nenela undedanni? Picchi pillalu.
01:37:23|01:42:12|Anandi|మీరిద్దరూ వయసులో చిన్నవాళ్లు, కానీ మనసులో మా కన్నా పెద్దవాళ్ళు.|[ఆనంది] Meeriddaru vayasulo chinna vallu, kaani manasulo maa kanna pedda vallu.
01:44:14|01:47:15|Anandi|ఈ కాలంలో పెద్దవాళ్ళకి మనవల ప్రేమ దొరకడమే కష్టం.|[ఆనంది] Ee kalamlo peddavallaki manavala prema dorakadame kashtam.
01:48:03|01:52:24|Anandi|కానీ చూడండి, మన ఇద్దరం ఎంత అదృష్టవంతులమో, మనవల ప్రేమ మన ఇద్దరికీ దక్కింది.|[ఆనంది] Kaani chudandi, mana iddaram entha adrushtavanthulamo, manavala prema mana iddariki dakkindi.
01:56:15|01:59:04|Arjun|రండి, అందరం ఒక ఫ్యామిలీ ఫోటో తీసుకుందాం.|[అర్జున్] Randi, andaram oka family photo teesukundam.
01:59:12|02:00:02|Anandi|ఆహ్.|[ఆనంది] Aah.
02:00:08|02:01:03|Nidhi|ఆహ్.|[నిధి] Aah.
02:03:06|02:04:02|Shanthi|కర్ణ,|[శాంతి] Karna,
02:04:08|02:05:21|Shanthi|రా బాబు.|[శాంతి] Ra babu.
02:06:03|02:08:02|Karna|కాదు కాదు మీరు నిలబడండి, నేను ఫోటో తీస్తాను.|[కర్ణ] Kaadu kaadu meeru nilabadandi, nenu photo teestanu.
02:08:09|02:11:07|Kavya|సెల్ఫీ అనే ఒక ఆప్షన్ ఉంది. అదే తీసుకుందాం రా.|[కావ్య] Selfie ane oka option undi. Ade teesukundam ra.
02:12:04|02:13:24|Anandi|డార్లింగ్, రా.|[ఆనంది] Darling, ra.
02:43:08|02:44:03|Anna|ఎక్కడికి వెళ్తున్నావ్?|[అన్న] Ekkadiki velthunnav?
02:44:10|02:45:04|Karna|ఫోటోకి.|[కర్ణ] Photoki.
02:46:11|02:48:24|Anna|అక్కడ తీస్తుంది ఫ్యామిలీ ఫోటో.|[అన్న] Akkada teestundi family photo.
02:49:07|02:52:21|Anna|అందులో మా ఫ్యామిలీ మాత్రమే ఉండాలి, నువ్వు కాదు.|[అన్న] Andulo maa family matrame undaali, nuvvu kaadu.
02:54:19|02:57:07|Anna|ఎవరి కంటా పడకుండా నేరుగా వెళ్ళిపో.|[అన్న] Evari kanta padakunda neruga vellipo.
03:02:15|03:03:10|Unknown|అందరూ వచ్చారా?|[Unknown] Andaru vachara?
03:04:13|03:04:21|Anna|హ్మ్.|[అన్న] Hmm.
03:05:08|03:06:05|Unknown|కర్ణ ఎక్కడ?|[Unknown] Karna ekkada?
03:06:18|03:10:06|Unknown|నానమ్మ, అన్నయ్య హాస్పిటల్లో ఏదో పని ఉందని హడావిడిగా వెళ్లిపోయాడు.|[Unknown] Nanamma, annayya hospital lo edo pani undani hadavidiga vellipoyadu.
03:19:07|03:20:11|Anandi|డార్లింగ్.|[ఆనంది] Darling.
03:23:06|03:26:22|Karna|ఎంత అందంగా కనిపిస్తున్నావో చూడు బంగారు, వయసైందంటేనే నమ్మరు.|[కర్ణ] Entha andamga kanipisthunnavo chudu bangaru, vayasaindantene nammaru.
03:28:15|03:33:04|Anandi|ఇలా నైస్ గా మాట్లాడకు. ఇకమీదటైనా దాచిపెట్టడం మానేయ్.|[ఆనంది] Ila nice ga matladaku. Ikameedataina daachipettadam maaney.
03:36:18|03:43:18|Anandi|అంతేకాదు. ఇలాంటి ఒక కుటుంబం నీ జీవితంలో కూడా రావాలి. నువ్వు తొందరగా పెళ్లి చేసుకో కర్ణ.|[ఆనంది] Anthekadu. Ilanti oka kutumbam nee jeevithamlo kuda ravali. Nuvvu thondaraga pelli chesuko Karna.
03:44:07|03:45:10|Karna|బంగారు, ప్లీజ్.|[కర్ణ] Bangaru, please.
03:46:00|03:46:24|Anandi|నో ప్లీజ్.|[ఆనంది] No please.
03:48:15|03:53:22|Anandi|చూడు. నువ్వే ఒక అమ్మాయిని చూసుకున్నా పర్వాలేదు, లేదంటే నేనే చూస్తాను.|[ఆనంది] Chudu. Nuvve oka ammayini chusukunna parvaledhu, ledante nene chustanu.
03:55:12|03:57:23|Anandi|నిన్ను ప్రేమగా చూసుకునే అమ్మాయి కావాలి.|[ఆనంది] Ninnu premaga chusukune ammayi kavali.
03:59:06|04:03:23|Anandi|నీ యోగ్యతకు తగిన అమ్మాయి రావాలి. తొందరగా నువ్వు పెళ్లి చేసుకో.|[ఆనంది] Nee yogyathaku thagina ammayi ravali. Thondaraga nuvvu pelli chesuko.
